ticker,column,n_missing,pct_missing
AAPL,CPI_USD,0,0.0
AAPL,Value_USD,0,0.0
AAPL,adj_close,0,0.0
AAPL,close,0,0.0
AAPL,high,0,0.0
AAPL,low,0,0.0
AAPL,open,0,0.0
AAPL,real_close,0,0.0
AAPL,volume,0,0.0
ABBV,CPI_USD,0,0.0
ABBV,Value_USD,0,0.0
ABBV,adj_close,0,0.0
ABBV,close,0,0.0
ABBV,high,0,0.0
ABBV,low,0,0.0
ABBV,open,0,0.0
ABBV,real_close,0,0.0
ABBV,volume,0,0.0
ABT,CPI_USD,0,0.0
ABT,Value_USD,0,0.0
ABT,adj_close,0,0.0
ABT,close,0,0.0
ABT,high,0,0.0
ABT,low,0,0.0
ABT,open,0,0.0
ABT,real_close,0,0.0
ABT,volume,0,0.0
AEP,CPI_USD,0,0.0
AEP,Value_USD,0,0.0
AEP,adj_close,0,0.0
AEP,close,0,0.0
AEP,high,0,0.0
AEP,low,0,0.0
AEP,open,0,0.0
AEP,real_close,0,0.0
AEP,volume,0,0.0
AMD,CPI_USD,0,0.0
AMD,Value_USD,0,0.0
AMD,adj_close,0,0.0
AMD,close,0,0.0
AMD,high,0,0.0
AMD,low,0,0.0
AMD,open,0,0.0
AMD,real_close,0,0.0
AMD,volume,0,0.0
AMT,CPI_USD,0,0.0
AMT,Value_USD,0,0.0
AMT,adj_close,0,0.0
AMT,close,0,0.0
AMT,high,0,0.0
AMT,low,0,0.0
AMT,open,0,0.0
AMT,real_close,0,0.0
AMT,volume,0,0.0
AMZN,CPI_USD,0,0.0
AMZN,Value_USD,0,0.0
AMZN,adj_close,0,0.0
AMZN,close,0,0.0
AMZN,high,0,0.0
AMZN,low,0,0.0
AMZN,open,0,0.0
AMZN,real_close,0,0.0
AMZN,volume,0,0.0
APD,CPI_USD,0,0.0
APD,Value_USD,0,0.0
APD,adj_close,0,0.0
APD,close,0,0.0
APD,high,0,0.0
APD,low,0,0.0
APD,open,0,0.0
APD,real_close,0,0.0
APD,volume,0,0.0
AVGO,CPI_USD,0,0.0
AVGO,Value_USD,0,0.0
AVGO,adj_close,0,0.0
AVGO,close,0,0.0
AVGO,high,0,0.0
AVGO,low,0,0.0
AVGO,open,0,0.0
AVGO,real_close,0,0.0
AVGO,volume,0,0.0
AXP,CPI_USD,0,0.0
AXP,Value_USD,0,0.0
AXP,adj_close,0,0.0
AXP,close,0,0.0
AXP,high,0,0.0
AXP,low,0,0.0
AXP,open,0,0.0
AXP,real_close,0,0.0
AXP,volume,0,0.0
BA,CPI_USD,0,0.0
BA,Value_USD,0,0.0
BA,adj_close,0,0.0
BA,close,0,0.0
BA,high,0,0.0
BA,low,0,0.0
BA,open,0,0.0
BA,real_close,0,0.0
BA,volume,0,0.0
BAC,CPI_USD,0,0.0
BAC,Value_USD,0,0.0
BAC,adj_close,0,0.0
BAC,close,0,0.0
BAC,high,0,0.0
BAC,low,0,0.0
BAC,open,0,0.0
BAC,real_close,0,0.0
BAC,volume,0,0.0
C,CPI_USD,0,0.0
C,Value_USD,0,0.0
C,adj_close,0,0.0
C,close,0,0.0
C,high,0,0.0
C,low,0,0.0
C,open,0,0.0
C,real_close,0,0.0
C,volume,0,0.0
CBRE,CPI_USD,0,0.0
CBRE,Value_USD,0,0.0
CBRE,adj_close,0,0.0
CBRE,close,0,0.0
CBRE,high,0,0.0
CBRE,low,0,0.0
CBRE,open,0,0.0
CBRE,real_close,0,0.0
CBRE,volume,0,0.0
CCI,CPI_USD,0,0.0
CCI,Value_USD,0,0.0
CCI,adj_close,0,0.0
CCI,close,0,0.0
CCI,high,0,0.0
CCI,low,0,0.0
CCI,open,0,0.0
CCI,real_close,0,0.0
CCI,volume,0,0.0
CEG,CPI_USD,0,
CEG,Value_USD,0,
CEG,adj_close,0,
CEG,close,0,
CEG,high,0,
CEG,low,0,
CEG,open,0,
CEG,real_close,0,
CEG,volume,0,
CMCSA,CPI_USD,0,0.0
CMCSA,Value_USD,0,0.0
CMCSA,adj_close,0,0.0
CMCSA,close,0,0.0
CMCSA,high,0,0.0
CMCSA,low,0,0.0
CMCSA,open,0,0.0
CMCSA,real_close,0,0.0
CMCSA,volume,0,0.0
COP,CPI_USD,0,0.0
COP,Value_USD,0,0.0
COP,adj_close,0,0.0
COP,close,0,0.0
COP,high,0,0.0
COP,low,0,0.0
COP,open,0,0.0
COP,real_close,0,0.0
COP,volume,0,0.0
CSCO,CPI_USD,0,0.0
CSCO,Value_USD,0,0.0
CSCO,adj_close,0,0.0
CSCO,close,0,0.0
CSCO,high,0,0.0
CSCO,low,0,0.0
CSCO,open,0,0.0
CSCO,real_close,0,0.0
CSCO,volume,0,0.0
CTVA,CPI_USD,0,0.0
CTVA,Value_USD,0,0.0
CTVA,adj_close,0,0.0
CTVA,close,0,0.0
CTVA,high,0,0.0
CTVA,low,0,0.0
CTVA,open,0,0.0
CTVA,real_close,0,0.0
CTVA,volume,0,0.0
CVX,CPI_USD,0,0.0
CVX,Value_USD,0,0.0
CVX,adj_close,0,0.0
CVX,close,0,0.0
CVX,high,0,0.0
CVX,low,0,0.0
CVX,open,0,0.0
CVX,real_close,0,0.0
CVX,volume,0,0.0
D,CPI_USD,0,0.0
D,Value_USD,0,0.0
D,adj_close,0,0.0
D,close,0,0.0
D,high,0,0.0
D,low,0,0.0
D,open,0,0.0
