Date,real_close,close,adj_close,open,high,low,volume,Return,__variable,__zscore,__ticker
2020-02-27,89.62686926802118,72.66000366210938,59.238887786865234,78.30999755859375,78.87999725341797,72.26000213623047,51482500.0,,volume,4.277917024557709,GILD
2020-03-02,93.2095511182244,75.4000015258789,61.472782135009766,70.31999969482422,75.41000366210938,70.08000183105469,31113000.0,0.08945304521785102,Return,4.636005786054608,GILD
2020-03-09,90.8854873558798,73.5199966430664,59.94002914428711,77.91999816894531,78.19000244140625,73.08999633789062,32839400.0,-0.08352037491502284,Return,-4.369715143346359,GILD
2020-03-12,84.77866123339051,68.58000183105469,56.43320083618164,70.44000244140625,72.86000061035156,67.87999725341797,26364600.0,-0.069470764303873,Return,-3.638233553668758,GILD
2020-03-17,92.12168827407515,74.5199966430664,61.32111358642578,70.0,76.08000183105469,69.0,28823700.0,0.08156741644013765,Return,4.225446914810764,GILD
2020-03-18,98.17907465952544,79.41999816894531,65.35323333740234,73.61000061035156,80.0,72.97000122070312,34965900.0,0.06575418339521422,Return,3.4021437524823175,GILD
2020-03-19,97.10358589683274,78.55000305175781,64.6373062133789,80.9800033569336,85.97000122070312,78.29000091552734,46268200.0,,volume,3.692920028989564,GILD
2020-03-20,90.56408190780346,73.26000213623047,60.28428649902344,79.5,81.5999984741211,72.16999816894531,35110200.0,-0.06734564875881255,Return,-3.527591135158187,GILD
2020-03-25,86.113760488593,69.66000366210938,57.32191467285156,73.87000274658203,74.48999786376953,69.33999633789062,24138100.0,-0.05813947370999928,Return,-3.04827909257304,GILD
2020-03-26,91.30580057242776,73.86000061035156,60.77801132202149,69.9000015258789,73.91000366210938,69.75,18351900.0,0.06029280401153203,Return,3.1178014611566103,GILD
2020-04-02,95.80338248184236,76.9800033569336,63.34541702270508,71.80999755859375,77.4800033569336,71.37999725341797,20482100.0,0.06164668444368493,Return,3.188290148576791,GILD
2020-04-17,104.5274816718631,83.98999786376953,69.11378479003906,85.16999816894531,85.79000091552734,81.01000213623047,94348500.0,,volume,9.08709202638425,GILD
2020-04-17,104.5274816718631,83.98999786376953,69.11378479003906,85.16999816894531,85.79000091552734,81.01000213623047,94348500.0,0.09733468590448946,Return,5.046357020568864,GILD
2020-04-23,96.79899516163177,77.77999877929688,64.00370788574219,82.16999816894531,84.0,74.4000015258789,65439700.0,,volume,5.843787815755707,GILD
2020-04-29,103.46963904554327,83.13999938964844,68.41435241699219,83.97000122070312,85.01000213623047,80.05000305175781,78230200.0,,volume,7.278765487123747,GILD
